words,wordId
b'16851750',921
b'16851754',922
b'16851757',923
b'16851764',924
b'1686',925
b'16861740',926
b'16861783',927
b'1687',928
b'16871768',929
b'16871774',930
b'1688',931
b'16881772',932
b'168889',933
b'1689',934
b'16891755',935
b'168991',936
b'169',937
b'1690',938
b'1691',939
b'16911700',940
b'16911754',941
b'169171',942
b'1692',943
b'16921753',944
b'16921769',945
b'16921775',946
b'1693',947
b'16931761',948
b'1694',949
b'16941775',950
b'16941778',951
b'1695',952
b'16951Z53',953
b'1696',954
b'16961750',955
b'16961787',956
b'1697',957
b'16971787',958
b'1698',959
b'16981770',960
b'16981779',961
b'16981782',962
b'1699',963
b'16992',964
b'16TH',965
b'16en',966
b'16ounce',967
b'16th',968
b'17',969
b'170',970
b'1700',971
b'17001760',972
b'170021',973
b'170058',974
b'1701',975
b'170189',976
b'170190',977
b'1702',978
b'170210',979
b'1703',980
b'170339',981
b'170365',982
b'1704',983
b'1705',984
b'170511',985
b'170515',986
b'170593',987
b'1706',988
b'1707',989
b'170793',990
b'1708',991
b'170810',992
b'170875',993
b'1709',994
b'170974',995
b'170984',996
b'170985',997
b'171',998
b'1710',999
b'171082',1000
b'1711',1001
b'171140',1002
b'171179',1003
b'171194',1004
b'1712',1005
b'17121778',1006
b'171285',1007
b'1713',1008
b'171341',1009
b'171384',1010
b'1714',1011
b'171419',1012
b'171495',1013
b'1715',1014
b'17151771',1015
b'1716',1016
b'171618',1017
b'1717',1018
b'171783',1019
b'1718',1020
b'17181800',1021
b'17181802',1022
b'1719',1023
b'172',1024
b'1720',1025
b'17201804',1026
b'1721',1027
b'172124',1028
b'172174',1029
b'172175',1030
b'172193',1031
b'1722',1032
b'1723',1033
b'172389',1034
b'1724',1035
b'17241803',1036
b'17241808',1037
b'172430',1038
b'1725',1039
b'17251732',1040
b'17251791',1041
b'172579',1042
b'172591',1043
b'172597',1044
b'1726',1045
b'172692',1046
b'1727',1047
b'17271735',1048
b'17271815',1049
b'172781',1050
b'1728',1051
b'1729',1052
b'17291781',1053
b'172977',1054
b'173',1055
b'1730',1056
b'17301740',1057
b'1731',1058
b'173164',1059
b'1732',1060
b'1733',1061
b'173347',1062
b'1734',1063
b'1735',1064
b'1736',1065
b'1737',1066
b'17371801',1067
b'17371823',1068
b'173756',1069
b'1738',1070
b'173840',1071
b'17385',1072
b'1739',1073
b'173945',1074
b'173980',1075
b'173999',1076
b'174',1077
b'1740',1078
b'174058',1079
b'1741',1080
b'17411803',1081
b'17411812',1082
b'1742',1083
b'17421826',1084
b'1743',1085
b'174393',1086
b'174394',1087
b'1744',1088
b'1745',1089
b'17451800',1090
b'17451820',1091
b'17451826',1092
b'17451836',1093
b'174565',1094
b'1746',1095
b'174649',1096
b'174651',1097
b'1747',1098
b'1748',1099
b'17481794',1100
b'1749',1101
b'17491813',1102
b'174952',1103
b'174O',1104
b'175',1105
b'1750',1106
b'17500',1107
b'17501777',1108
b'17501814',1109
b'1751',1110
b'17511838',1111
b'175177',1112
b'1752',1113
b'1753',1114
b'175355',1115
b'1754',1116
